Question,Answer
"AWS Clean Rooms协作方的数据会移动么？协作方的原始数据会集中到AWS Clean Rooms吗？","在联合分析获取他方数据时数据存在移动，但协作方的原始数据并不会存住在clean room内，clean room并不是一个物理存贮空间。"
"AWS Clean Rooms中，是否发起者和数据贡献者都会被收费？","是单方收费，只有查询的接收方会进行收费。"
"AWS Clean Rooms的数据贡献方的S3， 会产生API会产生调用次数收费么？","会， Glue Data Catalog API 的调用也会被收费， 如果加密数据用了KMS-CMK也会被相应的收费。"
"AWS Clean Rooms使用时，是否有一个强约束，两方的数据中一定要一个join字段才能够进行分析？","List 和Aggregation两种不同的分析规则下有区别， List 只能支持重合用户的，所以必须要有关联字段。Aggregation可以支持你仅仅去查询对方的数据，这种情况下，是可以不指定关联字段的。"
"如果已经在用Athena，S3桶中已经有数据了，是否能基于S3中这个数据就地加入AWS Clean Room?","是的，就地就能加入clean room， 这个S3桶就是一般的S3桶，并没有任何特殊。但这个S3路径不能注册到AWS Lake Formation中。"
"是否能通过SDK也就是代码来调用AWS Clean Rooms的联合分析","可以，可以参考代码 https://gitlab.aws.dev/rmalecky/aws-clean-rooms-notebooks/-/blob/main/single_collaborator_aggregation.ipynb。"
"AWS Clean Rooms在输出分析结果的时候，能否按照字段进行分区？","目前不能。"
"AWS Clean Rooms最大的参与方是多少？ 如果超过了限制怎么办？","目前5个参与方为最大限制，这个是软性的限制，slack频道中有披露最大支持的硬限制为10。"
"AWS clean rooms 用的什么加密算法？","C3R，是aws开源加密代码库。提供了C3R Client(一个可执行的Jar包)，目前仅支持对csv和parquet文件格式进行加密，后续可能会支持更多格式。 由于clean room把所有的字段分成三种类型： 指纹列(fingerprint column)， 密封列(sealed column)， 明文列(cleartext column)， 他们的加密方式有所不同，C3R client 会使用AES-GCM加密算法对sealed字段进行加密，会使用HMAC(Hash-based Message Authentication Code)来对fingerprint字段进行加密。"
"AWS Clean Rooms加密过程中有密文落地么？如果有，密文存在哪里？","由于C3R是客户端加密，所以clean room 关联S3中的数据已经是加密后的密文。"
"数据上传到S3的过程中，有两种加密方式Server Side 和 Client Side加密，如果客户的安全等级比较高，在数据上传之前做了加密，再想交给AWS Clean Rooms去处理，之前提到的C3R的加密方式，具体是一个怎么样的流程呢？","首先AWS Clean Rooms对于Server Side的加密是透明的，无需额外处理。AWS Clean Rooms不支持S3的客户端加密，必须采用C3R客户端进行加密，加密完成以后把数据上传到S3桶，后续流程和不加密的流程是一致的。 加密这步需要比较多的手工操作，包括：1) 加密前需要创建好collaboration(协作)， 得到collaboration_id后续在加密中需要提供; 2) 利用openssl 生成32位密钥并分享给其他协作方; 3) 加密过程中需要指定哪些字段为指纹列(fingerprint column)， 密封列(sealed column)， 明文列(cleartext column)"
"AWS Clean Rooms在安全计算方面，应该归属哪一类？","应该属于Secure multi-party computation，从内部的roadmap中有提到会引入Differential Privacy (DP) 差分隐私技术。"
"AWS Clean Rooms是否所有的字段都可以进行加密？","对于sealed和 fingerprint字段，只有string字段类型被支持。对于csv文件，C3R的客户端处理任何值都作为UTF-8编码的文本，加密前不会做任何其他的前置处理。对于parquet文件，对sealed和 fingerprint字段，如果出现非string的字段，会直接报错。C3R 客户端不能处理parquet中的复杂字段比如struct。"
"AWS Clean Rooms如果要对某个字段进行求和，求平均的数据计算，是否可以加密？","不能，只能作为cleartext明文列。"
"AWS Clean Rooms如果想要通过某些字段进行where过滤，这些字段应该是什么类型？","只能是cleartext明文列。"
"C3R客户端是否有实现任何non-standard的加密算法?","基本都是标准化的算法，除了一个HKDF(一种密钥推导函数)的实现(来自RFC5869)， 但是使用的是java标准加密库中的MAC算法。"
"AWS Clean rooms 与 AMC的区别与联系是什么？","AMC是一个专门服务与Amazon Ads的clean room应用，它是并且将持续是唯一的服务于Amazon Ads客户的应用服务。AWS Clean Rooms 是一个云分析服务，会服务于各个行业的数据合作需求。2023年， AMC 将会把自己的查询引擎和计算基础设置迁移到AWS Clean Rooms服务，将会帮助AMC更方便的服务于客户(他们将不再需要把自己第一方数据上传到AMC，在AWS S3上即可使用)。"
"AWS Clean rooms 与 其他的clean room服务商的区别？","AWS Clean rooms 覆盖的客户范围更广。而其他的服务商客户范围相对小，需要把数据移动到他们的平台上。AWS Clean rooms则无需数据移动。(Bastion 2021年announce的时候，其他的云厂商比如(google cloud 和 microsoft azure) 还没有通用场景的clean room solution，snowflake 有，功能上有区别，只允许data provider 提供预先固定的SQL，Bastion灵活性更好。snowflake要求数据必须进入他们的数仓，aws在S3 即可)。"
"AWS Clean Rooms有哪些典型的应用场景？","包含多个行业，下面提供部分参考: 1)广告营销领域， 广告营销活动中流量平台方需要给广告主或者营销方他们的广告点击数据和展现数据进行分析，但是不能提供用户级别的信息; 2)零售领域， 银行和零售商需要获取他们的重叠用户，用于进行联合的市场活动，但不要把客户的其他信息暴露给彼此; 3)医疗健康领域， 药厂和医院之间，药厂需要医院的病历数据； 药厂和外包的研发机构之间需要进行数据的共享"
"AWS Clean Rooms 的 data catalog 是如何实现的？ data sharing permission 是如何实现的？","都是利用了AWS Lake formation， AWS Clean Rooms 里 SQL中字段级别的限制约束，是通过一种new class of AWS Lake formation permission 来实现的。"
"可以在哪些地方进行AWS Clean Rooms的联合分析？","可以在clean room 的 workspace， 也可以在Redshift workspace （Note: 从目前发布产品文档上并没有，但是说明背后的引擎就是redshift severless)。"
"AWS Clean Rooms中，数据提供方如何对联合分析的收益方进行收费，或者实现一个数据授权的合同？","需要通过AWS Data Exchange 来进行 （Note: 目前AWS Clean Rooms并没有体现）。"
"AWS Clean Rooms 与 AWS Data Exchange 是什么关系？","AWS Clean Rooms 可以通过AWS Data Exchange 去浏览和寻找可用数据的合作方。 他是AWS Data Exchange的更近一步的服务，提供了可控(多种约束限制)和可审计的数据合作方式。"
"AWS Clean Rooms中是否支持视图？","允许客户在clean room 创建视图，并且在AWS Clean Rooms中保存物化视图，一旦退出协作，AWS Lake formation permission 将会被撤销，这些物化视图会被删除。（Note: 目前AWS Clean Rooms并没有体现）。"
"AWS Clean Rooms如果数据合作方没有aws account，能否支持？","目前这个版本不支持，后续的版本可能会考虑（NBC Universal 希望对于没有aws账号另外一方的数据可用）。"
"AWS Clean Rooms是否能够支持这个协作中，仅仅允许指定运行固定的SQL？","可以，可以利用query template来做（Note: 目前AWS Clean Rooms并没有体现）。"
"AWS Clean Rooms可以让数据贡献者提供一些样例数据进行预览么？","可以这么做，可以提供一些没有任何约束的示例数据给用户（Note: 目前AWS Clean Rooms并没有体现）。"
"AWS Clean Rooms当一个数据贡献者的数据发生更新后会怎么样？","它是一种live的共享，任何更新会立刻反映到联合分析的结果中。"
"AWS Clean Rooms 未来有哪些前进的方向？","主要有四个方向：1) Identity matching 身份ID对齐 (Note: 目前这项在官方的PPT在有体现); 2) 对隐私攻击的防护， 有些查询即使是一些聚合分析，仍然可能探查到个人的信息: a. 限制访问同一块范围数据的query的数量。 b. 采用差分隐私(Differential Privacy) 结果中添加噪声(会影响分析的精度)，Morgen Stanley 作为这个功能的beta用户; 3) 机器学习，P&G 表现出这方面的需求， 应该也是基于表格数据的模型，可能是流失预测，人群聚类等场景; 4) 和DSP的集成，直接把激活用户ID给到对接的DSP，而不通过cleanroom的数据接收方;"
"Service Team 有哪些相关的同事？","Horne， Bill <bgh@amazon.com>， Rababy， Bethany <rababyb@amazon.com>， Malecky， Ryan <rmalecky@amazon.com>， Malik， Mohsen <mmohsen@amazon.com>， Tanna， Shamir <tannas@amazon.com>。"
"Amazon EMR允许处理哪些类型的数据和业务情报工作负载？","使用Amazon EMR，您可以处理用于分析目的的数据和业务情报工作负载。"
"Amazon EMR允许将数据移出/移入到哪些AWS数据存储和数据库中？","Amazon EMR允许您转换大量数据并移出/移入到其它AWS数据存储和数据库中，例如Amazon Simple Storage Service（Amazon S3）和Amazon DynamoDB。"
"Amazon EMR的教程在哪里可以找到？","Amazon EMR的教程可以在Amazon EMR服务页面中找到，也可以在Amazon EMR管理指南中找到。"
"Amazon EMR集群由哪些组件构成？","Amazon EMR集群由集群和节点组成。集群是Amazon Elastic Compute Cloud（Amazon EC2）实例的集合，集群中的每个实例称作节点。"
"Amazon EMR中的节点类型有哪些？","Amazon EMR中的节点类型有主节点、核心节点和任务节点。"
"主节点在Amazon EMR集群中的作用是什么？","主节点管理集群，它通过运行软件组件来协调在其它节点之间分配数据和任务的过程以便进行处理。主节点跟踪任务的状态并监控集群的运行状况。"
"核心节点在Amazon EMR集群中的作用是什么？","核心节点具有运行任务并在集群上的Hadoop Distributed File System（HDFS）中存储数据的软件组件。多节点集群至少具有一个核心节点。"
"任务节点在Amazon EMR集群中的作用是什么？","任务节点具有仅运行任务但不在HDFS中存储数据的软件组件。任务节点是可选的。"
"Amazon EMR集群的生命周期包括哪些状态？","Amazon EMR集群的生命周期包括启动、运行、终止和终止后的状态。"
"如何向Amazon EMR集群提交工作？","可以通过几个选项向Amazon EMR集群提交工作。一种方法是在创建集群时在函数中提供要完成的工作的完整定义，并将其指定为步骤。另一种方法是创建一个长时间运行的集群并使用Amazon EMR控制台、API或AWS CLI提交包含一个或多个任务的步骤。还可以创建一个集群，根据需要使用SSH连接到主节点和其他节点，并使用安装的应用程序提供的界面以脚本或交互方式执行任务和提交查询。"
"如何处理Amazon EMR集群中的数据？","要处理Amazon EMR集群中的数据，可以直接向已安装的应用程序提交任务或查询，或在集群中运行步骤。可以通过安全连接连接到主节点，并访问可用于直接在集群上运行的软件的接口和工具。还可以向Amazon EMR集群提交一个或多个有序的步骤，每个步骤都是一个工作单位，其中包含可由集群上安装的软件处理的数据操作指令。"
"Amazon EMR支持哪些框架和应用程序？","Amazon EMR支持多种框架和应用程序，包括Hadoop、Spark、Presto、Hive、HBase、Flink、Zeppelin等。在启动集群时，用户需要选择要安装的框架和应用程序，以满足其数据处理需求。"
"如何连接到Amazon EMR集群？","可以通过安全连接连接到Amazon EMR集群的主节点，并访问可用于直接在集群上运行的软件的接口和工具。可以使用SSH连接到主节点和其他节点，并使用安装的应用程序提供的界面以脚本或交互方式执行任务和提交查询。"
"Amazon EMR中的数据输入通常存储在哪里？","Amazon EMR中的数据输入通常存储在您选择的底层文件系统（如 Amazon S3或HDFS）中的文件中。"
"Amazon EMR中的步骤是如何运行的？","Amazon EMR中的步骤按照提交请求的顺序运行。每个步骤的状态从PENDING（待处理）开始，第一个步骤启动时状态更改为RUNNING（正在运行），完成后状态更改为COMPLETED（已完成），然后序列中的下一个步骤启动，以此类推，直到所有步骤完成。"
"当Amazon EMR中的步骤失败时，其状态会如何更改？","当Amazon EMR中的步骤失败时，其状态会更改为FAILED（失败）。您可以选择忽略失败并允许继续执行其余步骤，或者立即终止集群。"
"Amazon EMR集群的生命周期是什么？","成功的Amazon EMR集群会遵循以下流程：首先为每个实例预置EC2实例，然后运行引导操作，在每个实例上安装本机应用程序，最后集群状态为RUNNING。在此期间，您可以连接到集群实例，集群将按顺序运行在创建集群时指定的任何步骤。"
"Amazon EMR如何处理数据？","在Amazon EMR中处理数据时，输入为以文件形式存储在您选择的底层文件系统（如 Amazon S3或HDFS）中的数据。数据从处理序列中的一个步骤传递到下一个。最后一步将输出数据写入指定位置，如Amazon S3存储桶。"
"集群何时进入WAITING状态？","集群在成功运行步骤后进入WAITING状态。"
"集群何时进入TERMINATING状态？","如果集群配置为在完成最后一个步骤后自动终止，则会进入TERMINATING状态。"
"集群何时进入TERMINATED状态？","集群在进入TERMINATING状态后会进入TERMINATED状态。"
"如何手动关闭集群？","如果集群配置为等待，您必须在不再需要它时手动将其关闭。"
"集群生命周期中的故障会导致什么？","集群生命周期中的故障将导致Amazon EMR终止集群及其所有实例，除非您启用了终止保护。"
"如何检索由于故障而终止的集群中的数据？","如果启用了终止保护，您可以从集群中检索数据，然后删除终止保护并终止集群。"
"Amazon EMR有哪些优势？","Amazon EMR有以下优势：节省成本、AWS集成、部署、可扩展性和灵活度、可靠性、安全性和监控。"
"Amazon EMR如何节省成本？","Amazon EMR可以根据您的需求自动启动和停止实例，从而最大程度地减少了成本。"
"Amazon EMR如何保证可靠性？","Amazon EMR使用多个实例来运行作业，从而提高了可靠性。如果一个实例出现故障，其他实例可以继续工作。"
"Amazon EMR如何保证安全性？","Amazon EMR提供了多种安全功能，例如加密、身份验证和访问控制，以保护您的数据和集群。"
"Amazon EMR 的定价取决于哪些因素？","Amazon EMR 的定价取决于您部署的 Amazon EC2 实例的实例类型和数量及您启动集群的区域。按需定价提供很低的费率，但您可以通过购买预留实例或竞价型实例来进一步降低成本。Spot 实例可以显著节省成本，在某些情况下，低至按需定价的十分之一。"
"如果我为 EMR 集群使用 Amazon S3、Amazon Kinesis 或 DynamoDB，会产生额外费用吗？","是的，这些服务会产生额外费用 - 与您的 Amazon EMR 使用费分开计费。"
"如果我在私有子网中设置 Amazon EMR 集群，需要为 Amazon S3 设置什么？","我们建议您也为 Amazon S3 设置 VPC 端点。如果您的 EMR 集群处于没有适用于 Amazon S3 的 VPC 端点的私有子网中，则您需要为与 S3 流量关联的其他 NAT 网关付费，因为您的 EMR 集群与 S3 之间的流量不是位于您的 VPC 内。"
"Amazon EMR 可以与哪些 AWS 服务集成？","Amazon EMR 可以与多个 AWS 服务集成，包括 Amazon EC2、Amazon Virtual Private Cloud（Amazon VPC）、Amazon S3、Amazon CloudWatch、AWS Identity and Access Management（IAM）、AWS CloudTrail、AWS Data Pipeline、AWS Lake Formation 等。"
"Amazon EMR 集群由哪些实例组成？","您的 EMR 集群由 EC2 实例组成，这些实例执行您提交给集群的工作。"
"如何为集群选择最适合处理需求的实例大小和类型？","您可以为集群选择最适合处理需求的实例大小和类型，包括批处理、低延迟查询、流数据或大数据存储。有关 Amazon EMR 实例类型的更多信息，请参阅配置集群硬件和联网。"
"Amazon EMR 可以如何灵活扩缩集群？","Amazon EMR 可以根据您的计算需求变化灵活扩缩集群。您可以调整集群，在工作负载高峰时增加实例，在工作负载高峰过后移除实例，从而控制成本。有关更多信息，请参阅手动调整正在运行的集群的大小。"
"Amazon EMR提供了哪些实例类型选项？","Amazon EMR提供了按需实例和竞价型实例两种选项。您可以在一个组中使用按需实例来保障处理能力，同时在另一个组中使用竞价型实例来加快任务完成速度并降低成本。您还可以混合多种实例类型以充分利用某种竞价型实例类型的定价优势。"
"Amazon EMR支持哪些文件系统？","Amazon EMR可以为您的输入、输出和中间数据灵活使用多种文件系统。例如，对于不需要在集群生命周期之外存储的处理数据，您可以选择在集群的主节点和核心节点上运行的Hadoop Distributed File System（HDFS）。您可以选择EMR文件系统（EMRFS），将Amazon S3用作在集群上运行的应用程序的数据层，以便分离计算和存储，并在集群生命周期之外保留数据。EMRFS具备更多优势，可供您独立扩展或收缩计算和存储需求。"
"Amazon EMR如何保证集群的可靠性？","Amazon EMR能够监控集群中的节点并自动终止和替换出现故障的实例。此外，您还可以配置终止保护，以防止集群中的实例由于处理期间出现的错误或问题而终止。如果启用终止保护，您可以在终止前从实例恢复数据。"
"Amazon EMR如何保护集群和数据的安全？","Amazon EMR利用其它AWS服务（如IAM和Amazon VPC）和功能（如Amazon EC2密钥对）来帮助您保护集群和数据。Amazon EMR与IAM集成以管理权限。您可以使用IAM策略定义权限，并将其附加到用户或IAM组。Amazon EMR还使用安全组控制EC2实例的入站和出站流量。Amazon EMR通过EMRFS支持可选的Amazon S3服务器端和客户端加密，以帮助保护您在Amazon S3中存储的数据的安全。"
"Amazon EMR如何配置集群终止方式？","Amazon EMR提供了控制集群终止方式（自动或手动）的配置选项。如果您将集群配置为自动终止，则集群会在所有步骤完成后终止。这称作暂时性集群。不过，您可以将集群配置为在处理完成后继续运行，这样，当您不再需要它时，可以选择手动终止集群。或者，您可以创建一个集群，与所安装的应用程序直接交互，然后在不再需要时手动将其终止。这些示例中的集群称作长时间运行的集群。"
"Amazon EMR如何与IAM配合使用？","Amazon EMR与IAM集成以管理权限。您可以使用IAM策略定义权限，并将其附加到用户或IAM组。您在策略中定义的权限确定了这些用户或组成员能够执行的操作及其能够访问的资源。此外，Amazon EMR为Amazon EMR服务本身使用IAM角色，为实例使用EC2实例配置文件。这些角色授予服务和实例代表您访问其它AWS服务的权限。"
"Amazon EMR支持在哪种隔离的虚拟网络中启动集群？","Amazon EMR支持在Amazon VPC中的Virtual Private Cloud（VPC）中启动集群。"
"Amazon EMR集成哪个服务可以记录有关您的账户或代表您的AWS账户发起的请求的信息？","Amazon EMR集成CloudTrail可以记录有关您的账户或代表您的AWS账户发起的请求的信息。"
"Amazon EMR支持哪些SDK？","Amazon EMR目前在可用于以下SDK：Go、Java、.NET（C#和VB.NET）、Node.js、PHP、Python和Ruby。"
"Amazon EMR提供哪些可以和Amazon EMR交互的方式？","Amazon EMR提供多种可以和Amazon EMR交互的方式，包括控制台、AWS Command Line Interface（AWS CLI）、软件开发工具包（SDK）和Web服务API。"
"Amazon EMR架构概览中包括哪些层？","Amazon EMR服务架构包括多个层，每个层为集群提供特定的功能。这些层包括Amazon EC2、Amazon S3、Hadoop、YARN、Hive、Pig、Spark、Zeppelin、Ganglia和EMR Management。"
"什么是Amazon EMR的存储层？","Amazon EMR的存储层包含可用于集群的不同的文件系统，包括Hadoop Distributed File System（HDFS）、EMR 文件系统（EMRFS）和本地文件系统。"
"Hadoop Distributed File System（HDFS）是什么？","Hadoop Distributed File System（HDFS）是一种分布式、可扩展的文件系统，供 Hadoop 使用。HDFS 将它所存储的数据在集群中的实例之间进行分配，从而在不同的实例上存储多份数据副本，确保在单个实例发生故障的情况下不会出现数据的丢失。"
"什么是EMR 文件系统（EMRFS）？","借助 EMR 文件系统（EMRFS），Amazon EMR 可使 Hadoop 具备直接访问存储在 Amazon S3 中的数据（就像使用 HDFS 文件系统时一样）的功能。在集群中，您可以将 HDFS 或 Amazon S3 用作文件系统。Amazon S3 最常用于存储 HDFS 中存储的输入和输出数据以及中间结果。"
"什么是本地文件系统？","本地文件系统指的是本地连接的磁盘。创建 Hadoop 集群时，会从 Amazon EC2 实例上创建各个节点，这些节点附带了预先配置的数据块，这些数据块属于称为实例存储的预先附加的磁盘存储。实例存储卷上的数据仅在 Amazon EC2 实例的生命周期内保留。"
"Amazon EMR的资源管理层负责什么？","资源管理层负责管理集群资源和调度作业，以进行数据处理。默认情况下，Amazon EMR 使用 YARN（Yet Another Resource Negotiator，Apache Hadoop 2.0 中引入的一个组件）集中管理多个数据处理框架的集群资源。"
"Amazon EMR的数据处理框架层是什么？","数据处理框架层是用于分析和处理数据的引擎。可在 YARN 上运行并具有自己的资源管理功能的框架有很多。不同的框架适用于不同类型的处理需求，如批处理、交互式处理、内存中处理、流式处理等。"
"Amazon EMR支持哪些主要处理框架？","Amazon EMR支持Hadoop MapReduce和Apache Spark这两个主要处理框架。"
"Hadoop MapReduce是什么？","Hadoop MapReduce是一种用于分布式计算的开源编程模型，它通过处理除Map-Reduce功能外的所有逻辑简化了编写平行分布式应用程序的过程。"
"Map函数和Reduce函数在Hadoop MapReduce中的作用是什么？","Map函数将数据映射到一系列称为中间结果的键值对上，而Reduce函数则汇总这些中间结果、应用其它计算法并生成最终输出。"
"Apache Spark是什么？","Apache Spark是一种用于处理大数据工作负载的集群框架和编程模型，它使用有向无环图来执行计划，使用内存缓存来处理数据集。"
"在Amazon EMR上运行Spark时，可以直接访问哪个存储服务中的数据？","在Amazon EMR上运行Spark时，可以使用EMRFS直接访问Amazon S3中的数据。"
"Amazon EMR支持哪些应用程序？","Amazon EMR支持许多应用程序，如Hive、Pig和Spark Streaming库，以提供使用更高级的语言创建处理工作负载、运用机器学习算法、制作流处理应用程序、构建数据仓库等功能。"
"可以使用哪些库和语言与在Amazon EMR中运行的应用程序交互？","可以使用多种库和语言与在Amazon EMR中运行的应用程序交互，例如Java、Hive、Pig、Spark Streaming、Spark SQL、mLLib和GraphX等。"
"如何设置Amazon EMR？","在首次启动Amazon EMR集群之前，需要注册AWS账户并完成一些任务，如创建管理用户和启用多重身份验证等。"
"如何注册AWS账户？","您可以打开https://portal.aws.amazon.com/billing/signup并按照屏幕上的说明进行操作来注册AWS账户。在注册时，您将接到一通电话，要求您使用电话键盘输入一个验证码。"
"什么是AWS账户根用户？","当您注册AWS账户时，系统将会创建一个AWS账户根用户。根用户有权访问该账户中的所有AWS服务和资源。"
"为什么需要创建管理用户？","创建管理用户可以避免使用根用户执行日常任务，从而保护您的AWS账户根用户。"
"如何保护AWS账户根用户？","您可以对您的根用户启用多重身份验证(MFA)来保护您的AWS账户根用户。"
"如何为管理用户授予管理访问权限？","对于您的日常管理任务，请在AWS IAM Identity Center中为管理用户授予管理访问权限。"
"如何使用IAM Identity Center用户身份登录？","要使用您的IAM Identity Center用户身份登录，请使用您在创建IAM Identity Center用户时发送到您的电子邮件地址的登录URL。"
"什么是Amazon EMR？","Amazon EMR是一个托管集群平台，可简化在上运行大数据框架（如 Apache Hadoop  和 Apache Spark ）的过程，AWS以处理和分析海量数据。"
"什么是AWS MSK？","AWS MSK是亚马逊云科技推出的Apache Kafka的云托管版本，用于数据集成、流处理、数据管道等各种应用。"
"AWS MSK相较于传统的自建式Kafka集群有哪些优势？","AWS MSK相较于传统的自建式Kafka集群有以下几点优势：- 快速部署- 降低运维复杂度- 弹性扩展- 与其他AWS服务紧密集成- 推出Serverless版"
"AWS MSK如何帮助客户快速配置并部署高度可用的Apache Kafka集群？","AWS MSK提供了原生多可用区（AZ）的Apache Kafka集群部署模式，可以帮助客户快速配置并部署高度可用的Apache Kafka集群，且AZ之间的流量传输是免费的。"
"AWS MSK如何降低运维复杂度？","AWS MSK会自动检测底层服务器，并在出现故障时进行替换。也会编排服务器的补丁与升级。同时还确保数据得到长久存储和保护，方便快捷地查看监控指标并设置警报。"
"AWS MSK如何实现弹性扩展？","AWS MSK充分利用云服务的资源弹性能力，可以根据负载变化自动进行扩展。"
"AWS MSK与哪些AWS服务紧密集成？","AWS MSK与AWS Identity and Access Management (IAM)和AWS Certificate Manager集成以实现安全性；与AWS Glue Schema Registry集成用于schema管理；与Amazon Kinesis Data Analytics和AWS Lambda集成用于流式传输处理，等等。"
"AWS MSK的Serverless版有哪些特点？","AWS MSK的Serverless版无需管理和扩展集群容量，按照流量付费，对于有明显的波峰波谷业，开发测试等场景，是很好的选择。"
"AWS MSK提供了哪些优势？","AWS MSK提供了基础设施稳定运行的保障，例如底层的EC2，EBS卷等，分别有其对应的SLA保障。"
"如何构建可靠的消息队列平台？","在构建Apache Kafka的消息队列平台时，需要根据不同场景，调整Kafka相关参数，达到可靠性要求。同时，还需要调整客户端的参数。"
"在AWS MSK中，什么是“可靠”的含义？","在AWS MSK中，“可靠”的含义是：在出现不同的系统故障时，Kafka消息队列系统仍能正常对外提供服务，不影响业务的正常运行且尽可能减少数据丢失的风险。"
"AWS MSK提供了哪些基本保障？","Kafka提供了基本保障，包括消息的持久性、顺序性和可靠性传递。"
"如何配置AWS MSK集群以达到不同的保障性需求？","可以根据不同的保障性需求，调整Kafka集群、生产者客户端，以及消费者客户端的相关参数配置。"
"在AWS MSK中，如何快速进行相关参数配置？","可以参考文档第5部分的“配置总结”进行相关参数配置。"
"什么是Kafka提供的4个基本保障？","Kafka提供的4个基本保障包括同一partition内消息的顺序在写入后不再变化、一条消息在写入到其partition对应的所有in-sync replicas后才视为committed、被committed消息只要有至少一个replica存活则消息不会丢失、Consumer只能读取到committed的消息。"
"Kafka中的Replication是什么功能？","在Kafka中，每个partition可以有多个replica，其中1个为leader，其他的为in-sync replica。Leader replica负责写入，以及消费。其他的in-sync replica只需要与leader保持同步状态并实时复制消息。如果leader不可用，则其他replica会选举为新的leader。这是Kafka提供可靠性保障的一个重要功能。"
"在构建可靠的Kafka消息队列平台时，需要考虑哪些相关要点？","在构建可靠的Kafka消息队列平台时，需要考虑与Replication相关的要点，包括配置Broker、设置default.replication.factor、unclean.leader.election.enable以及min.insync.replicas等。"
"什么是default.replication.factor？","default.replication.factor是Broker层面的一个配置，用于设置每个partition的默认副本数。默认值为1。"
"什么是unclean.leader.election.enable？","unclean.leader.election.enable是Broker层面的一个配置，用于设置是否允许unclean leader选举。如果设置为true，则在没有足够in-sync replicas的情况下也可以选举出leader。默认值为false。"
"什么是min.insync.replicas？","min.insync.replicas是Broker层面的一个配置，用于设置producer写入消息时需要保证的最小in-sync replicas数。如果写入的消息的in-sync replicas数小于该值，则写入操作会失败。默认值为1。"
"什么是Replication Factor在AWS MSK中的作用？","Replication Factor在AWS MSK中控制的是消息备份数，用于提高系统的可用性和可靠性。"
"在AWS MSK中，如何设置Replication Factor？","在AWS MSK中，Replication Factor可以在topic级别和broker级别进行配置，其中default.replication.factor默认为3 for 3-AZ clusters， 2 for 2-AZ clusters。"
"Replication Factor设置为多少时，可以允许N-1个broker丢失时仍能正常提供topic的读写服务？","当Replication Factor设置为N时，可以允许N-1个broker丢失时仍能正常提供topic的读写服务。"
"在AWS MSK中，如何提高数据冗余的安全性？","在AWS MSK中，可以将broker分布在不同的机架甚至不同的数据中心，以提高数据冗余的安全性。"
"在AWS MSK中，如何调整Replication Factor参数？","在AWS MSK中，常规调整Replication Factor参数的准则为：以3为起始，如果由于Replication导致性能成为了瓶颈，则建议使用一个性能更好的broker，而不是降低RF的值，永远不要在生产环境中设置RF为1。"
"什么是“clean”选举和“unclean”选举？","“clean”选举是指在所有in-sync replicas中选举一个新的leader replica，不会丢失committed数据。而“unclean”选举则允许out-of-sync replica选举成为leader，可能会丢失部分数据。"
"为什么需要允许out-of-sync replica选举成为leader？","如果不允许out-of-sync replica选举成为leader，当所有in-sync replica都出现故障时，partition将无法继续提供服务，除非等到leader恢复正常。而允许out-of-sync replica选举成为leader，则此时partition可以继续提供服务，但是会有部分数据丢失。"
